,Pearson_RF_MV,Shrink_RF_MV,Rvine_RF_MV,Cvine_RF_MV,Dvine_RF_MV,Pearson_XGB_MV,Shrink_XGB_MV,Rvine_XGB_MV,Cvine_XGB_MV,Dvine_XGB_MV,Pearson_RF_CVaR,Shrink_RF_CVaR,Rvine_RF_CVaR,Cvine_RF_CVaR,Dvine_RF_CVaR,Pearson_XGB_CVaR,Shrink_XGB_CVaR,Rvine_XGB_CVaR,Cvine_XGB_CVaR,Dvine_XGB_CVaR,Non-Norm_Rvine_RF_CVaR,Non-Norm_Cvine_RF_CVaR,Non-Norm_Dvine_RF_CVaR,Non-Norm_Rvine_XGB_CVaR,Non-Norm_Cvine_XGB_CVaR,Non-Norm_Dvine_XGB_CVaR,ML_un_Rvine_RF_CVaR,ML_un_Cvine_RF_CVaR,ML_un_Dvine_RF_CVaR,ML_un_Rvine_XGB_CVaR,ML_un_Cvine_XGB_CVaR,ML_un_Dvine_XGB_CVaR,ML_un_Non-Norm_Rvine_RF_CVaR,ML_un_Non-Norm_Cvine_RF_CVaR,ML_un_Non-Norm_Dvine_RF_CVaR,ML_un_Non-Norm_Rvine_XGB_CVaR,ML_un_Non-Norm_Cvine_XGB_CVaR,ML_un_Non-Norm_Dvine_XGB_CVaR,maxSharpe,minCVaR,Market Cap,Equal_Weight,^TWII
2022-12-29,1.1693157755839618,1.137827075739314,1.6858460923793592,1.5632763261029252,1.4911844760722448,1.5568942316158996,1.1558573750259862,1.716639107769197,1.5951568321958036,1.518209166020876,1.1704938014530981,0.9965560815919186,1.3021239866338352,1.2876449616532837,1.24004014012613,1.883181081302627,0.9943845497473862,1.3074232594694761,1.2514718071431774,1.2503009923236459,1.3190058563795073,1.253900843808053,1.1742165077557982,1.3513715965682207,1.282944879255626,1.2431501474851554,1.6703913360050657,1.5617096579063612,1.440239072390881,1.7447686250239267,1.7848464799604729,1.7372712677685358,1.5867532023729538,1.5084417004558452,1.4962770418470859,1.852947891742164,1.7271976272241165,1.7392114596956731,1.3987733000917482,1.168736108988904,1.25560181039794,1.4031377510027698,1.1640049804324015
2022-12-30,1.1718077798545072,1.140143634423267,1.697941942307679,1.570226423754341,1.500846294444728,1.560212229333015,1.1582106424922114,1.728955895833376,1.6022486659093744,1.5280460852276598,1.1733876621872303,0.9986100113736324,1.3124782731834874,1.294952704399798,1.2499327969473057,1.8894740762101538,0.9966734590162531,1.3186936258315363,1.2603977556688466,1.2611007991452847,1.3299232576737006,1.2622071062086069,1.18228510347227,1.3641229632740917,1.29144283604597,1.2518033447271113,1.6807899731283122,1.566965096320665,1.4486207730425091,1.7600006883465773,1.7967957128912329,1.7537939822429893,1.5970695195986326,1.513705345723676,1.506057524050331,1.8689612031327856,1.7389790657655813,1.7548173370209488,1.4017699572761062,1.171352800122883,1.2610491440294913,1.4068855066091497,1.1683577744039735
2023-01-03,1.1718077798545072,1.140143634423267,1.697941942307679,1.570226423754341,1.500846294444728,1.560212229333015,1.1582106424922114,1.728955895833376,1.6022486659093744,1.5280460852276598,1.1733876621872303,0.9986100113736324,1.3124782731834874,1.294952704399798,1.2499327969473057,1.8894740762101538,0.9966734590162531,1.3186936258315363,1.2603977556688466,1.2611007991452847,1.3299232576737006,1.2622071062086069,1.18228510347227,1.3641229632740917,1.29144283604597,1.2518033447271113,1.6807899731283122,1.566965096320665,1.4486207730425091,1.7600006883465773,1.7967957128912329,1.7537939822429893,1.5970695195986326,1.513705345723676,1.506057524050331,1.8689612031327856,1.7389790657655813,1.7548173370209488,1.4017699572761062,1.171352800122883,1.2610491440294913,1.4068855066091497,1.1755004401620157
2023-01-04,1.1733361968417106,1.141247743293081,1.6964276092229722,1.5728465950040371,1.499371613927279,1.56170869065872,1.1593322473539844,1.7274139025238162,1.604922271337082,1.5265446791209918,1.1746439264842947,1.0000580705337876,1.312336833734903,1.2983201655312384,1.2494163366259323,1.8921928898305076,0.9982923497887319,1.3172225769311487,1.2627601810836726,1.2617722215978469,1.3287413023698804,1.264993866961566,1.1818496479304044,1.3625988267358697,1.2928754084762504,1.251187517114003,1.6769526488779858,1.5660727572734048,1.4452981774767193,1.7570047524270809,1.7997934564954803,1.752741314725756,1.5935387947474955,1.512276813353641,1.5025785152226094,1.865524312400527,1.739736117654025,1.7525086330512338,1.4035810814235448,1.1726429657251174,1.2558192487634785,1.4074205969555686,1.1734352135423343
2023-01-05,1.178444715594738,1.1464706187961742,1.6728390335547543,1.5521819411508573,1.4851794706878765,1.5504307608150383,1.1646378858800939,1.7033944670180015,1.583836195108297,1.5120953321104222,1.1782605130768404,1.0052584004709637,1.2918107867579665,1.2796527840782905,1.236333790896901,1.8905294288765753,1.0031813167234271,1.2958218106943225,1.243818616758531,1.2503985563567033,1.3108363311285691,1.2462323742312733,1.1710268419805805,1.340547333333429,1.2749602423146,1.2393073426809411,1.6449779185288644,1.5363221807348224,1.4275672452369872,1.7248493395666715,1.772845922839146,1.7302756930907814,1.5602116980589031,1.4849403722622414,1.48046930377176,1.8277700954252776,1.7100171132110464,1.7314769944779118,1.4100248296069806,1.177929477142471,1.2684501851255943,1.4109658130322238,1.181858013127707
2023-01-06,1.1790003319023883,1.147179585863029,1.681878099452094,1.5587628928909023,1.491666924637023,1.5533587390130617,1.1653580874206857,1.7125986370114654,1.5905513547734174,1.5187003579860106,1.1792643533352163,1.0058356365647085,1.2968537067588433,1.2810782673688061,1.2397032929312561,1.8925077816836375,1.0035357978709158,1.3017195927309415,1.2470145782252164,1.2535768898221833,1.3162422848468212,1.2487400555494361,1.173794761171001,1.3468540724797549,1.278124760739067,1.2420460821960837,1.6533633803275067,1.5433142190692393,1.432906348707655,1.7343014992061314,1.7819218985796164,1.7376214058743407,1.5692832338629783,1.4920146682784527,1.4874103740141649,1.8375914757986218,1.7172915185927953,1.7387204379981784,1.4106707714288698,1.178207021566715,1.2749876547202124,1.422797281342428,1.1878321592989431
2023-01-09,1.196537534249471,1.16435348432334,1.7079090026437886,1.5874713080842267,1.5146231933574108,1.583864386132048,1.1828041278749435,1.7391050106545947,1.619845231916242,1.5420726624514725,1.1978797799597507,1.0209527391336846,1.3213952476668247,1.3045617961529203,1.2595777654592626,1.9225996768386422,1.0186574390097087,1.3249325598627455,1.2678505839500664,1.271748106172313,1.3382670412766535,1.2706709836066576,1.191772003314375,1.3739958863824138,1.3008796967496032,1.2599766608733118,1.6863424501788153,1.5793200028912238,1.4602241101252216,1.7651975112758667,1.8159712266675168,1.7674580759273448,1.6029403960980098,1.5263931844853422,1.51731897537511,1.8721949945123846,1.750959967604899,1.7648347477578745,1.431803990379577,1.1958103888419185,1.3166306034604205,1.4566516405725871,1.2191424959559005
2023-01-10,1.1974673850832536,1.165386815578899,1.714605022741734,1.5902656552909982,1.5187934076329221,1.5879594980925187,1.1838538335622568,1.745923337676558,1.622696565339502,1.5463184533907859,1.1978536481698514,1.0217739809368136,1.326475017099043,1.308544854988196,1.2624606443716289,1.9262076574657452,1.0194051855401673,1.3299900188327674,1.2713801712210615,1.2748984987898386,1.343612386261132,1.274451406545394,1.1949366626466347,1.378451818379788,1.3044219829090968,1.264005544314899,1.6937588799773626,1.5835359735979022,1.4643954989650316,1.7726071023708125,1.8188746315801014,1.7732467338827895,1.6106566013591888,1.5304882989838728,1.523193717873909,1.8795647668288449,1.7559102799726682,1.7713847072293665,1.4329555818108806,1.1970754609245795,1.323700248287531,1.4589055073014534,1.2233365442939863
2023-01-11,1.1842397508289324,1.1520003207991594,1.6921897436644902,1.5695400668510524,1.5027653639340464,1.5729691044794374,1.1702552129574033,1.7230986297453321,1.6015483118610694,1.5299999339537331,1.1868495310740848,1.0093581204608948,1.3077807643801311,1.2892833662438252,1.2477167617075482,1.905642751438336,1.0081003037356209,1.311464371291204,1.2521818723677203,1.2598361014685646,1.3257563888414843,1.2549418454683239,1.182016716491973,1.3591662813217569,1.285376797214664,1.2499066640373246,1.676742746802871,1.5668576517205903,1.4539327256068826,1.7489889672700598,1.795255397967762,1.7538427453379637,1.5940168337353064,1.5141357478248294,1.5122178538993714,1.8530491132225846,1.7327857248989982,1.7524032053187173,1.416480965657644,1.1837912291694699,1.3171128509836005,1.4486798980208893,1.219078900857178
2023-01-12,1.181629530303429,1.1493111026848397,1.6892323585636042,1.5643629860445933,1.4960884822644631,1.5762963606999914,1.1675233808040244,1.7200872261872828,1.596265652819056,1.5232020473650136,1.1853584601362772,1.0069018529531215,1.3051036172480728,1.2861817181133492,1.2428078773480007,1.9031881928512249,1.0054884331465388,1.309711772632666,1.2484579033695684,1.2532862005852152,1.323220153328822,1.2516677531054745,1.1762821671593497,1.3588274855534017,1.282228409413393,1.243096805123065,1.673413084801982,1.5628156439422187,1.446508107511104,1.747888522619236,1.7889622823175682,1.747644151373801,1.5913575355796874,1.5102443667024845,1.50542515370536,1.8522959917698116,1.728798675100084,1.744174165931341,1.412887352418991,1.180015842415524,1.3171407895039464,1.4450051958085395,1.2174425376316733
